word,defid,score,place,rankings,average_ranking,std_ranking,equal,log_bin,familiar,meaning_opinion,proper_noun,formal
cum bucket,48476,722,0,"[2, 3, 1, 3, 1]",2,0.894427191,"['all_offensive', 'none', 'all_offensive', 'all_offensive', 'all_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
pookie,75424,695,0,"[2, 3, 3, 1, 1]",2,0.894427191,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
fantasmal,4501706,5,1,"[1, 1, 1, 2, 1]",1.2,0.4,"['non_offensive', 'none', 'none', 'non_offensive', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
billion,891691,-147,2,"[1, 2, 1, 3, 1]",1.6,0.8,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",2,familiar_yes,meaning,proper_noun_yes,formal_no
sesshoumaru,1694789,46,2,"[1, 1, 2, 1, 2]",1.4,0.489897949,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,both,proper_noun_yes,formal_no
shooby,4063809,7,1,"[2, 1, 2, 2, 2]",1.8,0.4,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
pack,1935586,271,0,"[2, 3, 2, 1, 2]",2,0.632455532,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'non_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
school,194136,19937,0,"[2, 2, 2, 2, 2]",2,0,"['none', 'none', 'none', 'none', 'none']",9,familiar_yes,meaning,proper_noun_no,formal_no
jelly bracelets,739941,1013,0,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
cameron,4284753,8027,0,"[2, 2, 2, 3, 3]",2.4,0.489897949,"['none', 'none', 'none', 'none', 'none']",7,familiar_no,both,proper_noun_yes,formal_unclear
sex,1507419,5928,2,"[2, 3, 3, 3, 2]",2.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",9,familiar_no,meaning,proper_noun_no,formal_no
fugly,478,8951,0,"[3, 2, 2, 2, 3]",2.4,0.489897949,"['all_offensive', 'all_offensive', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
fall out boy,1678757,-12,2,"[1, 1, 3, 3, 2]",2,0.894427191,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",7,familiar_no,opinion,proper_noun_no,formal_no
fiddle faddle,2645208,31,0,"[1, 1, 2, 1, 1]",1.2,0.4,"['all_offensive', 'none', 'none', 'none', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
foot,244482,341,1,"[2, 3, 3, 2, 3]",2.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",5,familiar_yes,both,proper_noun_no,formal_yes
laxer,1227137,149,1,"[2, 2, 3, 2, 3]",2.4,0.489897949,"['none', 'none', 'none', 'none', 'all_offensive']",3,familiar_no,meaning,proper_noun_no,formal_yes
greg,3280737,1352,1,"[3, 3, 1, 3, 3]",2.6,0.8,"['none', 'none', 'none', 'non_offensive', 'none']",6,familiar_no,both,proper_noun_yes,formal_yes
jason,6002337,2818,1,"[3, 2, 3, 2, 2]",2.4,0.489897949,"['none', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
this bitch,5069353,99,0,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
sharky,8679126,0,2,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,meaning,proper_noun_yes,formal_no
mit,1951680,-71,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'all_offensive', 'none']",5,familiar_yes,meaning,proper_noun_no,formal_no
kyle,6350725,25,2,"[1, 3, 3, 1, 1]",1.8,0.979795897,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",7,familiar_no,meaning,proper_noun_yes,formal_yes
cheed,3036094,-28,2,"[1, 2, 1, 1, 1]",1.2,0.4,"['none', 'none', 'all_offensive', 'none', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
fag bag,2943893,-14,2,"[3, 1, 2, 3, 1]",2,0.894427191,"['all_offensive', 'all_offensive', 'none', 'all_offensive', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
rj,338225,488,0,"[3, 2, 3, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,opinion,proper_noun_yes,formal_no
life,792856,8245,1,"[2, 1, 2, 2, 1]",1.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",8,familiar_yes,opinion,proper_noun_yes,formal_yes
biff,4957326,-9,2,"[2, 1, 3, 3, 3]",2.4,0.8,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
danny phantom,1099719,305,0,"[2, 2, 3, 3, 2]",2.4,0.489897949,"['non_offensive', 'non_offensive', 'none', 'none', 'non_offensive']",3,familiar_no,meaning,proper_noun_yes,formal_yes
vagina,2278413,9400,1,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'all_offensive', 'none']",7,familiar_yes,meaning,proper_noun_no,formal_no
flash,1062056,350,1,"[2, 2, 3, 2, 2]",2.2,0.4,"['none', 'none', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
pinger,2532560,-14,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
stoner,679046,3997,1,"[2, 2, 3, 2, 2]",2.2,0.4,"['non_offensive', 'none', 'none', 'none', 'none']",7,familiar_yes,meaning,proper_noun_no,formal_no
lightning,2112172,7,2,"[2, 1, 3, 2, 1]",1.8,0.748331477,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
jologs,384110,-18,2,"[2, 3, 2, 2, 1]",2,0.632455532,"['all_offensive', 'all_offensive', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
george w. bush,1791089,66,2,"[1, 1, 1, 1, 1]",1,0,"['all_offensive', 'none', 'none', 'all_offensive', 'none']",8,familiar_no,both,proper_noun_yes,formal_no
stick,265631,373,0,"[2, 2, 2, 1, 1]",1.6,0.489897949,"['none', 'none', 'none', 'non_offensive', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
take it easy,1811076,212,1,"[3, 3, 3, 2, 3]",2.8,0.4,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
goosed,860276,462,0,"[2, 2, 2, 2, 2]",2,0,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
monster mash,1689099,114,0,"[2, 1, 1, 2, 2]",1.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
abba zabba,1027083,62,0,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'non_offensive']",3,familiar_no,meaning,proper_noun_no,formal_unclear
troll,5096,13393,0,"[3, 3, 3, 3, 3]",3,0,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",8,familiar_no,meaning,proper_noun_no,formal_no
priya,4855243,154,2,"[3, 2, 1, 1, 1]",1.6,0.8,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,opinion,proper_noun_yes,formal_no
28 days later,1582843,109,1,"[3, 3, 2, 3, 1]",2.4,0.8,"['none', 'none', 'none', 'none', 'non_offensive']",2,familiar_yes,meaning,proper_noun_no,formal_yes
everquest 2,2162240,-14,2,"[1, 1, 2, 2, 1]",1.4,0.489897949,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,opinion,proper_noun_yes,formal_no
eden,2184169,964,0,"[2, 3, 2, 2, 2]",2.2,0.4,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
soup,3165253,-7,2,"[1, 1, 1, 1, 3]",1.4,0.8,"['none', 'none', 'non_offensive', 'none', 'non_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
sharpe,1955215,7,1,"[2, 1, 3, 2, 2]",2,0.632455532,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",2,familiar_no,opinion,proper_noun_no,formal_no
cracker,575705,5554,1,"[3, 2, 3, 1, 1]",2,0.894427191,"['non_offensive', 'none', 'none', 'non_offensive', 'none']",8,familiar_yes,meaning,proper_noun_no,formal_no
cunt,5814,11427,1,"[2, 2, 3, 1, 2]",2,0.632455532,"['none', 'none', 'all_offensive', 'none', 'none']",9,familiar_no,meaning,proper_noun_no,formal_no
perfect,5535209,3044,0,"[2, 2, 3, 3, 3]",2.6,0.489897949,"['none', 'non_offensive', 'none', 'none', 'non_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
faggot,1396616,8253,1,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'non_offensive', 'non_offensive']",8,familiar_no,meaning,proper_noun_no,formal_no
randy,2439584,-81,2,"[2, 1, 2, 1, 2]",1.6,0.489897949,"['none', 'none', 'non_offensive', 'none', 'non_offensive']",6,familiar_no,meaning,proper_noun_yes,formal_no
nicole,3110789,7710,1,"[1, 1, 2, 1, 1]",1.2,0.4,"['non_offensive', 'none', 'non_offensive', 'non_offensive', 'non_offensive']",7,familiar_no,meaning,proper_noun_yes,formal_no
vacation dick,9551568,0,2,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
led zeppelin,782475,5481,0,"[3, 3, 2, 3, 2]",2.6,0.489897949,"['none', 'none', 'non_offensive', 'non_offensive', 'non_offensive']",7,familiar_no,meaning,proper_noun_no,formal_no
neveruary,781044,23,0,"[2, 2, 1, 3, 2]",2,0.632455532,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",2,familiar_yes,meaning,proper_noun_no,formal_unclear
marijuana,1356334,-362,2,"[2, 2, 2, 2, 2]",2,0,"['none', 'all_offensive', 'none', 'none', 'none']",7,familiar_no,opinion,proper_noun_no,formal_no
freshie,7062189,-10,2,"[3, 3, 2, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'non_offensive']",5,familiar_yes,meaning,proper_noun_no,formal_no
jacking off,1474241,1030,1,"[3, 2, 2, 2, 2]",2.2,0.4,"['none', 'none', 'none', 'all_offensive', 'none']",5,familiar_yes,meaning,proper_noun_no,formal_no
julian casablancas,360327,1249,1,"[3, 3, 1, 1, 2]",2,0.894427191,"['non_offensive', 'none', 'none', 'non_offensive', 'non_offensive']",6,familiar_no,meaning,proper_noun_yes,formal_no
biter,1193822,508,1,"[2, 1, 1, 1, 2]",1.4,0.489897949,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'non_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
bitch,7154,15060,0,"[2, 3, 1, 3, 1]",2,0.894427191,"['none', 'none', 'none', 'none', 'none']",8,familiar_yes,meaning,proper_noun_no,formal_no
assassin's creed,6457402,15,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
jon stewart,2913662,-212,2,"[1, 1, 1, 1, 2]",1.2,0.4,"['none', 'none', 'non_offensive', 'none', 'non_offensive']",4,familiar_no,both,proper_noun_yes,formal_no
blood,328390,1716,0,"[1, 1, 1, 1, 1]",1,0,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
bross,4431466,15,1,"[1, 1, 2, 1, 1]",1.2,0.4,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",3,familiar_no,meaning,proper_noun_no,formal_no
wtf,48041,5708,1,"[1, 2, 1, 2, 3]",1.8,0.748331477,"['none', 'none', 'none', 'non_offensive', 'non_offensive']",7,familiar_no,opinion,proper_noun_yes,formal_no
cake,1190775,1075,1,"[1, 1, 1, 3, 1]",1.4,0.8,"['none', 'none', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
bounty,1580628,103,0,"[2, 2, 3, 3, 2]",2.4,0.489897949,"['none', 'none', 'non_offensive', 'non_offensive', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
cumbubble,854388,12,0,"[1, 1, 1, 2, 2]",1.4,0.489897949,"['all_offensive', 'none', 'all_offensive', 'all_offensive', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
gibbs slap,4408183,74,0,"[2, 3, 2, 3, 1]",2.2,0.748331477,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",1,familiar_no,meaning,proper_noun_no,formal_no
all about,1027860,45,0,"[2, 2, 2, 1, 3]",2,0.632455532,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
alice in chains,3628715,805,1,"[1, 3, 1, 1, 1]",1.4,0.8,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
dike,83653,-27,2,"[3, 2, 3, 2, 2]",2.4,0.489897949,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
facting,6743067,3,1,"[3, 1, 2, 1, 2]",1.8,0.748331477,"['none', 'none', 'none', 'none', 'all_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
geek,886696,5214,1,"[1, 2, 3, 2, 3]",2.2,0.748331477,"['none', 'none', 'non_offensive', 'none', 'non_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
milf,416253,21336,0,"[1, 1, 2, 1, 1]",1.2,0.4,"['none', 'all_offensive', 'all_offensive', 'all_offensive', 'all_offensive']",7,familiar_yes,both,proper_noun_no,formal_no
headbanger,1210651,-37,2,"[1, 2, 3, 3, 2]",2.2,0.748331477,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
flash,1068580,8,2,"[3, 3, 2, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_yes,formal_no
assrag,4416139,3,2,"[3, 2, 3, 2, 2]",2.4,0.489897949,"['none', 'non_offensive', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
laxer,4101577,-47,2,"[3, 1, 1, 1, 2]",1.6,0.8,"['none', 'none', 'none', 'none', 'all_offensive']",3,familiar_no,meaning,proper_noun_no,formal_no
tweedledump,712836,0,1,"[1, 2, 3, 3, 3]",2.4,0.8,"['none', 'all_offensive', 'none', 'none', 'none']",1,familiar_no,meaning,proper_noun_no,formal_no
ella,1537733,1140,1,"[3, 2, 3, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'non_offensive', 'none']",6,familiar_no,opinion,proper_noun_yes,formal_no
tump,91014,69,0,"[3, 2, 3, 3, 3]",2.8,0.4,"['none', 'non_offensive', 'non_offensive', 'none', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
quack,43685,328,1,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
katie holmes,1400318,556,0,"[2, 2, 3, 3, 3]",2.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
bump,34694,2433,0,"[2, 3, 1, 3, 2]",2.2,0.748331477,"['non_offensive', 'none', 'non_offensive', 'non_offensive', 'non_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
dro,16203,913,1,"[3, 1, 3, 2, 3]",2.4,0.8,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
islam,1979344,3584,1,"[2, 2, 1, 2, 2]",1.8,0.4,"['all_offensive', 'none', 'none', 'none', 'all_offensive']",6,familiar_no,opinion,proper_noun_yes,formal_no
samuel,4561405,2051,1,"[3, 2, 2, 3, 2]",2.4,0.489897949,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",5,familiar_no,both,proper_noun_yes,formal_no
ratchet,6710768,23510,0,"[1, 1, 1, 1, 3]",1.4,0.8,"['none', 'all_offensive', 'none', 'non_offensive', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
juggalo,2985783,286,2,"[2, 1, 2, 1, 1]",1.4,0.489897949,"['none', 'none', 'all_offensive', 'none', 'none']",8,familiar_no,meaning,proper_noun_no,formal_no
fuck,1900941,590,2,"[1, 3, 2, 1, 3]",2,0.894427191,"['none', 'non_offensive', 'none', 'none', 'none']",8,familiar_no,opinion,proper_noun_no,formal_no
internet,48113,12585,0,"[2, 2, 2, 2, 1]",1.8,0.4,"['non_offensive', 'none', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
england,1966743,783,1,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",6,familiar_yes,opinion,proper_noun_yes,formal_yes
fabulous,1119266,24,2,"[3, 3, 2, 2, 2]",2.4,0.489897949,"['none', 'non_offensive', 'non_offensive', 'none', 'none']",4,familiar_yes,meaning,proper_noun_no,formal_yes
nignog,2574911,-27,2,"[2, 3, 2, 3, 2]",2.4,0.489897949,"['none', 'none', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
hatred,2194711,-19,2,"[2, 2, 2, 1, 2]",1.8,0.4,"['all_offensive', 'all_offensive', 'non_offensive', 'all_offensive', 'non_offensive']",3,familiar_yes,opinion,proper_noun_yes,formal_yes
yang,1134976,350,0,"[3, 3, 3, 3, 2]",2.8,0.4,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_yes,meaning,proper_noun_no,formal_no
ahem,374075,-38,2,"[2, 1, 1, 3, 2]",1.8,0.748331477,"['none', 'non_offensive', 'none', 'non_offensive', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
pac sun,1224675,-27,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'non_offensive', 'none', 'non_offensive', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
flamed up,1847763,41,1,"[3, 2, 3, 3, 2]",2.6,0.489897949,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
vidiot,1549712,20,1,"[3, 1, 3, 1, 2]",2,0.894427191,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
pearl necklace,638847,-95,2,"[3, 1, 3, 3, 2]",2.4,0.8,"['all_offensive', 'all_offensive', 'all_offensive', 'all_offensive', 'all_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
bih,2311822,150,1,"[2, 2, 2, 2, 1]",1.8,0.4,"['none', 'none', 'none', 'non_offensive', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
porn,1837448,-90,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",7,familiar_no,opinion,proper_noun_no,formal_no
entourage,1573631,332,1,"[3, 2, 3, 2, 2]",2.4,0.489897949,"['non_offensive', 'non_offensive', 'none', 'none', 'none']",3,familiar_no,opinion,proper_noun_no,formal_no
wad,99047,165,1,"[3, 2, 2, 2, 2]",2.2,0.4,"['none', 'none', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
guinea,1922721,-36,2,"[3, 2, 2, 3, 2]",2.4,0.489897949,"['none', 'all_offensive', 'none', 'non_offensive', 'non_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
hot shit,368151,155,0,"[1, 1, 2, 2, 1]",1.4,0.489897949,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",4,familiar_yes,meaning,proper_noun_no,formal_no
sluffin,5024622,14,2,"[1, 2, 1, 2, 2]",1.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
1337,5034984,-7,2,"[3, 3, 2, 3, 3]",2.8,0.4,"['none', 'none', 'non_offensive', 'non_offensive', 'none']",6,familiar_no,meaning,proper_noun_yes,formal_no
jesus christ,4889307,68,2,"[2, 2, 2, 1, 2]",1.8,0.4,"['none', 'none', 'none', 'non_offensive', 'none']",6,familiar_yes,meaning,proper_noun_yes,formal_yes
bart,1435235,259,0,"[2, 1, 3, 1, 3]",2,0.894427191,"['none', 'none', 'none', 'all_offensive', 'none']",4,familiar_no,meaning,proper_noun_yes,formal_yes
