word,defid,score,place,rankings,average_ranking,std_ranking,equal,log_bin,familiar,meaning_opinion,proper_noun,formal
traitor,4085318,70,2,"[1, 1, 3, 1, 2]",1.6,0.8,"['non_offensive', 'none', 'all_offensive', 'non_offensive', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
party pooper,1895489,287,1,"[2, 3, 2, 2, 2]",2.2,0.4,"['none', 'none', 'none', 'none', 'none']",4,familiar_yes,meaning,proper_noun_no,formal_yes
blow job,3850142,39,2,"[2, 3, 1, 1, 3]",2,0.894427191,"['none', 'none', 'all_offensive', 'all_offensive', 'all_offensive']",6,familiar_no,both,proper_noun_no,formal_no
spongebob squarepants,106754,1280,0,"[3, 1, 3, 3, 3]",2.6,0.8,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",5,familiar_yes,meaning,proper_noun_no,formal_no
retarded,558443,686,0,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
aids,9088739,-1,2,"[2, 3, 2, 3, 2]",2.4,0.489897949,"['non_offensive', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_yes
penis,22994,25956,1,"[3, 2, 3, 3, 2]",2.6,0.489897949,"['none', 'none', 'none', 'none', 'all_offensive']",8,familiar_no,meaning,proper_noun_no,formal_no
twospace,3094305,0,1,"[3, 1, 3, 2, 3]",2.4,0.8,"['non_offensive', 'non_offensive', 'none', 'non_offensive', 'non_offensive']",1,familiar_no,meaning,proper_noun_no,formal_no
cake,233639,-6,2,"[2, 2, 2, 2, 3]",2.2,0.4,"['none', 'none', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
loose cannon,171890,235,1,"[2, 3, 3, 3, 1]",2.4,0.8,"['none', 'none', 'non_offensive', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
lady gaga,4105463,1638,1,"[3, 1, 3, 1, 1]",1.8,0.979795897,"['non_offensive', 'non_offensive', 'none', 'all_offensive', 'none']",7,familiar_no,both,proper_noun_yes,formal_no
feeb,20867,86,1,"[3, 1, 1, 1, 1]",1.4,0.8,"['none', 'none', 'none', 'none', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
faded,387943,-356,2,"[2, 2, 3, 1, 1]",1.8,0.748331477,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
girls gone wild,150490,882,0,"[2, 2, 2, 2, 2]",2,0,"['none', 'none', 'none', 'none', 'none']",3,familiar_no,opinion,proper_noun_no,formal_no
emo music,1364113,113,0,"[2, 2, 1, 3, 2]",2,0.632455532,"['none', 'non_offensive', 'none', 'none', 'none']",3,familiar_no,opinion,proper_noun_no,formal_no
duffy,4163837,413,0,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'non_offensive', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
norn iron,271930,32,2,"[2, 2, 3, 2, 1]",2,0.632455532,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
israel,1554556,929,2,"[2, 1, 1, 2, 2]",1.6,0.489897949,"['none', 'non_offensive', 'non_offensive', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
cumbubble,6900864,-2,2,"[3, 2, 3, 1, 3]",2.4,0.8,"['all_offensive', 'none', 'all_offensive', 'all_offensive', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
hat trick,3864200,-11,2,"[3, 3, 3, 2, 3]",2.8,0.4,"['none', 'none', 'none', 'all_offensive', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
hot ass,460538,207,0,"[3, 2, 2, 2, 3]",2.4,0.489897949,"['non_offensive', 'all_offensive', 'non_offensive', 'all_offensive', 'non_offensive']",4,familiar_no,opinion,proper_noun_no,formal_no
yats,878722,-11,2,"[2, 2, 2, 2, 2]",2,0,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
psn,4922128,4,1,"[1, 3, 1, 1, 1]",1.4,0.8,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
ghetto fab,1012369,55,0,"[2, 2, 2, 3, 3]",2.4,0.489897949,"['none', 'none', 'none', 'non_offensive', 'non_offensive']",3,familiar_no,meaning,proper_noun_no,formal_no
biatch,542562,703,1,"[3, 3, 3, 1, 3]",2.6,0.8,"['none', 'none', 'all_offensive', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
frizzle,522523,80,0,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
tyler,2475637,5651,0,"[3, 1, 2, 3, 2]",2.2,0.748331477,"['none', 'non_offensive', 'non_offensive', 'none', 'non_offensive']",7,familiar_yes,meaning,proper_noun_yes,formal_no
redneck,16193,4143,1,"[2, 3, 3, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'none']",8,familiar_yes,both,proper_noun_no,formal_no
gi,716996,195,0,"[3, 2, 2, 2, 1]",2,0.632455532,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_yes,meaning,proper_noun_no,formal_yes
audi,1925638,237,1,"[3, 1, 3, 1, 1]",1.8,0.979795897,"['non_offensive', 'none', 'none', 'non_offensive', 'non_offensive']",5,familiar_yes,both,proper_noun_yes,formal_yes
rawr,3018803,6649,0,"[3, 3, 3, 2, 3]",2.8,0.4,"['non_offensive', 'non_offensive', 'none', 'non_offensive', 'non_offensive']",7,familiar_no,opinion,proper_noun_no,formal_yes
snitch,5300178,715,1,"[2, 2, 2, 3, 3]",2.4,0.489897949,"['non_offensive', 'none', 'non_offensive', 'non_offensive', 'non_offensive']",6,familiar_yes,meaning,proper_noun_no,formal_yes
dimebag,1854927,-52,2,"[1, 1, 2, 3, 1]",1.6,0.8,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
ptfo,5975036,1090,0,"[3, 3, 2, 2, 3]",2.6,0.489897949,"['none', 'all_offensive', 'all_offensive', 'all_offensive', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
chaud,2705917,162,0,"[1, 3, 2, 3, 2]",2.2,0.748331477,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'non_offensive']",3,familiar_no,meaning,proper_noun_no,formal_no
aff,2573993,-16,2,"[1, 1, 1, 2, 2]",1.4,0.489897949,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
ripper,1100072,172,1,"[1, 2, 2, 1, 2]",1.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
