definition,log_bin,score,word,freq,familiar,familiar_1,familiar_2,familiar_3,formal,formal_1,formal_2,formal_3,meaning_opinion,meaning_opinion_1,meaning_opinion_2,meaning_opinion_3,proper_noun,proper_noun_1,proper_noun_2,proper_noun_3
1135513,9,16840,scene,537,familiar_no,familiar_no,familiar_yes,familiar_no,formal_no,formal_no,formal_no,formal_no,both,opinion,meaning,both,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1301701,8,12106,jesus,298,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,opinion,meaning,opinion,opinion,proper_noun_yes,proper_noun_no,proper_noun_yes,proper_noun_yes
4216074,6,9038,fml,93,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
9105,6,726,ya mum,65,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
160040,3,539,bukaki,14,familiar_yes,familiar_yes,familiar_yes,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,both,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
7027895,6,8,american football,88,familiar_no,familiar_no,familiar_yes,familiar_no,formal_no,formal_no,formal_yes,formal_no,meaning,opinion,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_yes
2250340,2,103,ar-15,7,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_unclear,formal_no,formal_no,both,meaning,both,opinion,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1301282,4,87,fucktastic,30,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1381545,3,1339,i'd tap that,10,familiar_yes,familiar_yes,familiar_yes,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
8212,3,56,juggahoe,10,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2592034,2,2595,leave britney alone,4,familiar_no,familiar_no,familiar_yes,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,opinion,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2946051,6,2079,xbox 360,87,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_yes,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
833943,3,0,shipwreck,13,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_yes,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
8034854,2,0,biffed it,4,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_unclear,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
941671,1,-33,daddy pants,2,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
3852088,0,-5,havi,1,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
4052699,5,-8,pope,41,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_yes,opinion,opinion,opinion,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_yes
6243989,3,-86,debra,11,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_yes,both,meaning,opinion,both,proper_noun_yes,proper_noun_no,proper_noun_yes,proper_noun_yes
3797665,0,2,indunktion,1,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
113285,5,1845,gully,49,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
3629555,2,23,truff,5,familiar_no,familiar_yes,familiar_no,familiar_no,formal_unclear,formal_unclear,formal_unclear,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
113559,7,-3,monkey,150,familiar_yes,familiar_yes,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_yes,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
841330,3,403,bug juice,9,familiar_no,familiar_no,familiar_yes,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,opinion,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
51241,6,1573,yoda,69,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1210040,5,277,guinea,34,familiar_no,familiar_no,familiar_no,familiar_no,formal_yes,formal_yes,formal_no,formal_yes,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
46524,5,638,gully,49,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_unclear,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
8375466,4,-21,pewdiepie,24,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,opinion,proper_noun_yes,proper_noun_yes,proper_noun_no,proper_noun_yes
3387302,7,30,high school,172,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,opinion,opinion,meaning,opinion,proper_noun_no,proper_noun_yes,proper_noun_no,proper_noun_no
6702919,9,6048,swag,517,familiar_yes,familiar_yes,familiar_yes,familiar_no,formal_no,formal_no,formal_no,formal_no,both,both,meaning,both,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1914,6,1473,raw,66,familiar_no,familiar_yes,familiar_no,familiar_no,formal_yes,formal_yes,formal_no,formal_yes,both,opinion,meaning,both,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_yes
2833266,3,91,magic: the gathering,12,familiar_yes,familiar_yes,familiar_yes,familiar_yes,formal_yes,formal_yes,formal_yes,formal_yes,meaning,meaning,meaning,meaning,proper_noun_yes,proper_noun_yes,proper_noun_yes,proper_noun_yes
3330885,4,-4,dw,31,familiar_no,familiar_no,familiar_no,familiar_no,formal_yes,formal_yes,formal_yes,formal_no,both,meaning,both,both,proper_noun_yes,proper_noun_yes,proper_noun_yes,proper_noun_no
2593370,6,20,poof,66,familiar_no,familiar_no,familiar_yes,familiar_no,formal_no,formal_no,formal_no,formal_yes,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2158221,7,4,scene kids,139,familiar_no,familiar_no,familiar_yes,familiar_no,formal_yes,formal_no,formal_yes,formal_yes,both,meaning,both,opinion,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
5286927,1,1,gaydiculous,2,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1737433,2,0,tooled out,5,familiar_no,familiar_no,familiar_yes,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,both,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
4841783,7,-4,nicole,150,familiar_no,familiar_no,familiar_no,familiar_no,formal_yes,formal_no,formal_yes,formal_yes,meaning,meaning,meaning,meaning,proper_noun_yes,proper_noun_no,proper_noun_yes,proper_noun_yes
194862,6,451,the used,72,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_yes,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_yes,proper_noun_no
5517470,7,5374,rachel,188,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,opinion,meaning,meaning,proper_noun_no,proper_noun_yes,proper_noun_no,proper_noun_no
844193,7,11808,weed,235,familiar_yes,familiar_yes,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_yes,both,both,meaning,opinion,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_yes
1776497,7,1169,panda,129,familiar_yes,familiar_no,familiar_yes,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,both,proper_noun_yes,proper_noun_no,proper_noun_yes,proper_noun_yes
963767,6,2120,system of a down,104,familiar_no,familiar_no,familiar_yes,familiar_no,formal_no,formal_no,formal_unclear,formal_no,opinion,meaning,opinion,opinion,proper_noun_yes,proper_noun_no,proper_noun_yes,proper_noun_yes
8670599,7,-177,donald trump,151,familiar_yes,familiar_yes,familiar_yes,familiar_no,formal_yes,formal_yes,formal_yes,formal_no,meaning,meaning,meaning,opinion,proper_noun_yes,proper_noun_yes,proper_noun_yes,proper_noun_no
1900941,8,590,fuck,285,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,opinion,opinion,opinion,both,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1448435,5,1018,shemale,37,familiar_yes,familiar_yes,familiar_yes,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
7061354,7,-1,new jersey,202,familiar_yes,familiar_yes,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_yes,opinion,opinion,opinion,opinion,proper_noun_yes,proper_noun_yes,proper_noun_yes,proper_noun_yes
1771574,2,-1,swoob,4,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
19263,4,544,rube,16,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2765069,6,-39,football,84,familiar_yes,familiar_no,familiar_yes,familiar_yes,formal_yes,formal_no,formal_yes,formal_yes,opinion,opinion,meaning,opinion,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
642494,5,112,i'm game,51,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2551998,5,-70,sxe,46,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,opinion,meaning,opinion,opinion,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
932947,3,203,song,8,familiar_yes,familiar_no,familiar_yes,familiar_yes,formal_yes,formal_yes,formal_no,formal_yes,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
16290,5,274,trash,37,familiar_yes,familiar_yes,familiar_yes,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
85955,6,1040,rice,69,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_unclear,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
950343,6,2954,internet explorer,67,familiar_yes,familiar_no,familiar_yes,familiar_yes,formal_yes,formal_yes,formal_yes,formal_yes,opinion,opinion,opinion,opinion,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2952621,6,586,cookies,72,familiar_no,familiar_yes,familiar_no,familiar_no,formal_unclear,formal_yes,formal_no,formal_unclear,meaning,both,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
717090,2,21,cruddie,5,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
3869671,5,1918,sierra,58,familiar_yes,familiar_yes,familiar_no,familiar_yes,formal_yes,formal_yes,formal_yes,formal_yes,opinion,opinion,both,opinion,proper_noun_yes,proper_noun_yes,proper_noun_yes,proper_noun_yes
8860892,3,3,law school,8,familiar_yes,familiar_no,familiar_yes,familiar_yes,formal_yes,formal_no,formal_yes,formal_yes,both,meaning,both,opinion,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_yes
4074593,3,-26,zilch,9,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
8286529,6,-2,prick,66,familiar_yes,familiar_yes,familiar_yes,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_yes,proper_noun_no
1396616,8,8253,faggot,285,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_yes,proper_noun_no
412955,8,44334,nigga,375,familiar_yes,familiar_yes,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,opinion,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
869364,7,708,pie,167,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_yes,meaning,opinion,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
970,6,1149,hit,64,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
36463,4,33,wahoo,16,familiar_yes,familiar_yes,familiar_yes,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
6020916,0,9,ass mad,1,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_yes,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_yes,proper_noun_no,proper_noun_no
1956677,1,19,panda-kun,2,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2941962,3,7,stamped,14,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
8590999,7,1,michael,183,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,opinion,opinion,opinion,meaning,proper_noun_yes,proper_noun_yes,proper_noun_yes,proper_noun_yes
1559787,4,27,shabba,22,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
5172890,1,-2,pipe it,3,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
4966512,6,-22,bbb,71,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
32693,7,1237,cheese,184,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2686144,4,39,zipper,16,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
6710768,7,23510,ratchet,181,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,both,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1490961,3,80,flat ass,10,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1796995,2,85,brotato,7,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
48944,7,3764,wanksta,180,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
5975036,5,1090,ptfo,37,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_yes,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
119048,7,929,goon,161,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2945945,7,4116,emma,188,familiar_no,familiar_yes,familiar_no,familiar_no,formal_unclear,formal_yes,formal_no,formal_unclear,meaning,meaning,meaning,meaning,proper_noun_yes,proper_noun_yes,proper_noun_yes,proper_noun_yes
3621872,4,212,rhombus,26,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_yes,formal_no,formal_no,opinion,opinion,opinion,opinion,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
3648117,6,-355,cross country,69,familiar_yes,familiar_no,familiar_yes,familiar_yes,formal_yes,formal_yes,formal_no,formal_yes,both,both,meaning,opinion,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
6050141,7,0,oreo,137,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
664431,4,562,thumb,18,familiar_yes,familiar_yes,familiar_no,familiar_yes,formal_yes,formal_yes,formal_yes,formal_yes,both,both,meaning,both,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
7886610,2,-5,yof,4,familiar_no,familiar_no,familiar_no,familiar_yes,formal_yes,formal_yes,formal_no,formal_yes,meaning,both,meaning,meaning,proper_noun_yes,proper_noun_yes,proper_noun_no,proper_noun_yes
1974345,5,213,womp,62,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1358880,4,305,aff,20,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
9088739,6,-1,aids,126,familiar_no,familiar_no,familiar_yes,familiar_no,formal_yes,formal_no,formal_yes,formal_yes,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
3604378,2,-2,buttock,4,familiar_yes,familiar_no,familiar_yes,familiar_yes,formal_yes,formal_yes,formal_no,formal_yes,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_yes
5110419,2,7,agawam,5,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_yes,formal_no,formal_no,both,both,both,both,proper_noun_no,proper_noun_yes,proper_noun_no,proper_noun_no
1592970,1,35,neo folk,3,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
3097876,2,-5,wwmd,7,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
3653379,5,396,dominic,38,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_unclear,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_yes,proper_noun_no
1190286,6,595,corey,66,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
4220538,1,5,melot,2,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_unclear,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1553835,0,21,wapanesity,1,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2744692,7,4513,connor,133,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,opinion,proper_noun_yes,proper_noun_yes,proper_noun_no,proper_noun_yes
1004000,2,216,nightwing,4,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_yes,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
1714821,4,668,desi,19,familiar_no,familiar_no,familiar_no,familiar_yes,formal_yes,formal_no,formal_yes,formal_yes,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_yes,proper_noun_no
664615,1,-4,knuckle dime,2,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,both,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
7217515,5,83,dinger,48,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
260318,4,131,durr,17,familiar_yes,familiar_no,familiar_yes,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
4907486,6,4,hannah montana,99,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,opinion,meaning,meaning,proper_noun_no,proper_noun_yes,proper_noun_no,proper_noun_no
1966743,6,783,england,89,familiar_yes,familiar_yes,familiar_yes,familiar_yes,formal_yes,formal_yes,formal_yes,formal_yes,opinion,opinion,opinion,opinion,proper_noun_yes,proper_noun_yes,proper_noun_yes,proper_noun_yes
1036761,1,88,the bishop's school,2,familiar_no,familiar_no,familiar_yes,familiar_no,formal_no,formal_no,formal_yes,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_yes,proper_noun_no
7212442,6,736,gas,73,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
9700082,4,186,dat boi,21,familiar_no,familiar_no,familiar_yes,familiar_no,formal_no,formal_no,formal_yes,formal_no,meaning,meaning,opinion,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
424608,7,11169,rape,163,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_yes,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
4485768,5,1511,knob,47,familiar_no,familiar_yes,familiar_no,familiar_no,formal_no,formal_yes,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2037398,1,19,devil sticks,2,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
6405191,1,-6,going to narnia,3,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_yes
5814,9,11427,cunt,541,familiar_no,familiar_no,familiar_no,familiar_yes,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
2744791,7,3245,alex,239,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,opinion,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_yes,proper_noun_no
81066,2,3,spek,4,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
9100507,4,0,horngry,31,familiar_no,familiar_no,familiar_no,familiar_no,formal_no,formal_no,formal_no,formal_no,meaning,meaning,meaning,meaning,proper_noun_no,proper_noun_no,proper_noun_no,proper_noun_no
